condition,cutoff_hz,mean_corrective_field_cosine_to_full,corrective_field_rotation_one_minus_cosine,condition_specific_probe_accuracy,fulltrained_transfer_accuracy,decoder_boundary_drift_gap,spearman_rho_all_conditions,spearman_exact_p
lp_0-1000,1000,0.5146303081086704,0.4853696918913296,0.7728937728937729,0.3498168498168498,0.42307692307692313,0.9999999999999999,0.016666666666666666
lp_0-2000,2000,0.6252632481711251,0.3747367518288749,0.7985347985347986,0.5457875457875457,0.25274725274725285,0.9999999999999999,0.016666666666666666
lp_0-4000,4000,0.7233673845018659,0.2766326154981341,0.826007326007326,0.5952380952380952,0.23076923076923073,0.9999999999999999,0.016666666666666666
lp_0-6000,6000,0.8248620842184339,0.17513791578156612,0.9395604395604396,0.8864468864468864,0.05311355311355315,0.9999999999999999,0.016666666666666666
lp_0-8000,8000,0.9786602450268609,0.021339754973139113,0.9487179487179487,0.9542124542124543,-0.005494505494505586,0.9999999999999999,0.016666666666666666
